SequÍncia;Data Fato;Hora Fato;Grupo Fato;Tipo Enquadramento;Tipo Fato;Municipio Fato;Local Fato;Bairro;Quantidade VÌtimas;Idade VÌtima;Sexo VÌtima;Cor VÌtima
4;01/01/2024;00:01:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;SANTA CRUZ DO SUL;RESIDENCIA;Cristal;1;8;Feminino;Parda
9;01/01/2024;00:01:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;IBIRUBA;RESIDENCIA;;1;16;Feminino;Parda
20;01/01/2024;00:01:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;CACHOEIRINHA;RESIDENCIA;Vila da Paz;5;17;Feminino;Parda
35;01/01/2024;00:01:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;HERVAL;RESIDENCIA;Presidente Jango;1;12;Feminino;Parda
56;01/01/2024;00:01:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;GENERAL CAMARA;OUTROS;;1;13;Feminino;Branca
204;01/01/2024;01:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;ESTEIO;OUTROS;S„o JosÈ;1;13;Feminino;Branca
205;01/01/2024;01:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;ESTEIO;OUTROS;S„o JosÈ;1;13;Feminino;Branca
274;01/01/2024;01:30:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;ARAMBARE;OUTROS;;1;12;Feminino;Branca
569;01/01/2024;04:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;SAO LEOPOLDO;RESIDENCIA;;1;10;Feminino;Parda
719;01/01/2024;06:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;SAO LEOPOLDO;RESIDENCIA;Santos Dumont;1;13;Feminino;Branca
763;01/01/2024;06:42:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;SANTA MARIA;VIA PUBLICA;Nossa Senhora Medianeira;1;35;Feminino;Branca
858;01/01/2024;08:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;ALVORADA;RESIDENCIA;Jardim Algarve;1;7;Feminino;Branca
988;01/01/2024;08:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;SANTO ANGELO;RESIDENCIA;;1;13;Feminino;Parda
1095;01/01/2024;09:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;PASSO FUNDO;RESIDENCIA;;0;;;
1176;01/01/2024;10:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;PORTO ALEGRE;RESIDENCIA;Auxiliadora;1;13;Feminino;Branca
1203;01/01/2024;10:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;ALVORADA;RESIDENCIA;Maria Regina;1;13;Feminino;Parda
1539;01/01/2024;14:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;VICTOR GRAEFF;RESIDENCIA;;1;5;Masculino;Branca
1611;01/01/2024;15:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;GRAVATAI;RESIDENCIA;Parque Florido;1;8;Feminino;Branca
1662;01/01/2024;15:30:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;ALEGRETE;RESIDENCIA;vila nova;0;;;
1731;01/01/2024;16:22:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;RIO GRANDE;HOSPITAIS/CLINICAS;Centro;1;4;Feminino;Sem informaÁ„o
1802;01/01/2024;17:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;SAO FRANCISCO DE PAULA;RESIDENCIA;SERRA VELHA;1;3;Feminino;Branca
1894;01/01/2024;18:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;BOQUEIRAO DO LEAO;RESIDENCIA;;1;11;Feminino;Branca
1900;01/01/2024;18:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;SAO MARCOS;RESIDENCIA;Capela S„o Luis;1;12;Feminino;Branca
1981;01/01/2024;19:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;SANTA VITORIA DO PALMAR;RESIDENCIA;Donatos;3;11;Masculino;Branca
2241;01/01/2024;21:30:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;CAXIAS DO SUL;HOSPITAIS/CLINICAS;Centro;1;3;Feminino;Branca
2284;01/01/2024;22:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;SANTA MARIA;RESIDENCIA;Lorenzi;1;12;Feminino;Parda
2464;02/01/2024;00:30:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;JAGUARAO;RESIDENCIA;centro;1;13;Feminino;Branca
2475;02/01/2024;01:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;MARAU;RESIDENCIA;INTERIOR;1;13;Feminino;Branca
2518;02/01/2024;02:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;DOIS IRMAOS;RESIDENCIA;Loteamento Cascata Sao Miguel;1;5;Masculino;Parda
2688;02/01/2024;08:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;NOVO HAMBURGO;RESIDENCIA;Guarani;1;3;Masculino;Branca
2834;02/01/2024;09:00:00;CRIMES;ESTUPRO DE VULNERAVEL;Consumado;ITAQUI;RESIDENCIA;Cafifas;1;12;Feminino;Branca
