SequÍncia;Data Fato;Hora Fato;Grupo Fato;Tipo Enquadramento;Tipo Fato;Municipio Fato;Local Fato;Bairro;Quantidade VÌtimas;Idade VÌtima;Sexo VÌtima;Cor VÌtima
987;01/01/2024;08:00:00;CRIMES;ESTUPRO;Consumado;SANTA ROSA;OUTROS;INTERIOR;1;17;Feminino;Sem informaÁ„o
1042;01/01/2024;08:45:00;CRIMES;ESTUPRO;Consumado;TORRES;RESIDENCIA;;1;57;Feminino;Branca
1574;01/01/2024;14:30:00;CRIMES;ESTUPRO;Consumado;SANTO ANGELO;RESIDENCIA;Meller Norte;1;40;Feminino;Branca
1989;01/01/2024;19:00:00;CRIMES;ESTUPRO;Consumado;PASSO FUNDO;RESIDENCIA;CENTRO;1;63;Feminino;Branca
2325;01/01/2024;22:30:00;CRIMES;ESTUPRO;Consumado;IBIRAPUITA;VIA PUBLICA;;1;22;Feminino;Parda
2347;01/01/2024;23:00:00;CRIMES;ESTUPRO;Consumado;DOM PEDRITO;RESIDENCIA;JosÈ Tude de Godoy;1;20;Feminino;Preta
4589;03/01/2024;03:00:00;CRIMES;ESTUPRO;Consumado;BAGE;RESIDENCIA;Pedras Brancas;1;40;Feminino;Preta
4671;03/01/2024;07:00:00;CRIMES;ESTUPRO;Consumado;SANTA ROSA;RESIDENCIA;Planalto;1;18;Feminino;Branca
4793;03/01/2024;08:00:00;CRIMES;ESTUPRO;Consumado;IMBE;RESIDENCIA;Mariluz Norte;1;14;Feminino;Sem informaÁ„o
6963;04/01/2024;08:00:00;CRIMES;ESTUPRO;Consumado;CAMPO BOM;RESIDENCIA;Oper·ria;1;27;Feminino;Branca
9889;05/01/2024;13:00:00;CRIMES;ESTUPRO;Consumado;CAICARA;RESIDENCIA;INTERIOR;1;20;Feminino;Branca
10067;05/01/2024;14:30:00;CRIMES;ESTUPRO;Consumado;SOBRADINHO;VIA PUBLICA;Interior;1;34;Feminino;Branca
10152;05/01/2024;15:00:00;CRIMES;ESTUPRO;Consumado;SANTO ANGELO;RESIDENCIA;Centro;1;54;Feminino;Branca
10525;05/01/2024;17:30:00;CRIMES;ESTUPRO;Consumado;ROLANTE;OUTROS;INTERIOR;1;16;Feminino;Branca
10916;05/01/2024;20:50:00;CRIMES;ESTUPRO;Consumado;VIAMAO;VIA PUBLICA;¡guas Claras;1;56;Feminino;Branca
10917;05/01/2024;20:50:00;CRIMES;ESTUPRO;Consumado;VIAMAO;VIA PUBLICA;¡guas Claras;1;56;Feminino;Branca
11203;06/01/2024;00:01:00;CRIMES;ESTUPRO;Consumado;SILVEIRA MARTINS;RESIDENCIA;;1;26;Feminino;Sem informaÁ„o
12680;06/01/2024;18:40:00;CRIMES;ESTUPRO;Consumado;FELIZ;RESIDENCIA;PIC√O;1;21;Feminino;Branca
12946;06/01/2024;21:00:00;CRIMES;ESTUPRO;Consumado;PELOTAS;OUTROS;Z TrÍs;1;14;Feminino;Branca
12967;06/01/2024;21:00:00;CRIMES;ESTUPRO;Consumado;NOVA HARTZ;RESIDENCIA;Progresso;1;46;Feminino;Branca
13124;06/01/2024;22:30:00;CRIMES;ESTUPRO;Consumado;SAPUCAIA DO SUL;RESIDENCIA;Ipiranga;1;14;Feminino;Branca
13498;07/01/2024;03:09:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;VIA PUBLICA;Jardim Carvalho;1;20;Masculino;Parda
13572;07/01/2024;04:30:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;RESIDENCIA;Pitinga;1;35;Feminino;Branca
14026;07/01/2024;12:00:00;CRIMES;ESTUPRO;Consumado;ERECHIM;RESIDENCIA;Cer‚mica;1;41;Feminino;Branca
14307;07/01/2024;15:30:00;CRIMES;ESTUPRO;Consumado;ALVORADA;RESIDENCIA;Piratini;1;17;Feminino;Branca
14570;07/01/2024;18:00:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;RESIDENCIA;Rubem Berta;1;21;Feminino;Branca
14822;07/01/2024;20:00:00;CRIMES;ESTUPRO;Consumado;JACUTINGA;RESIDENCIA;CENTRO;1;51;Feminino;Branca
15068;07/01/2024;22:00:00;CRIMES;ESTUPRO;Consumado;CARAZINHO;RESIDENCIA;;1;14;Feminino;Parda
15438;08/01/2024;05:00:00;CRIMES;ESTUPRO;Consumado;NOVO HAMBURGO;RESIDENCIA;Liberdade;1;46;Feminino;Branca
15492;08/01/2024;07:00:00;CRIMES;ESTUPRO;Consumado;BARRA DO QUARAI;RESIDENCIA;;1;23;Feminino;Branca
15867;08/01/2024;10:00:00;CRIMES;ESTUPRO;Consumado;PELOTAS;OUTROS;Centro;1;16;Feminino;Branca
17318;08/01/2024;20:00:00;CRIMES;ESTUPRO;Consumado;PELOTAS;RESIDENCIA;Lot Cascata do  Sol;1;17;Feminino;Branca
17710;09/01/2024;01:00:00;CRIMES;ESTUPRO;Consumado;CANOAS;RESIDENCIA;Est‚ncia Velha;2;33;Feminino;Branca
18690;09/01/2024;13:30:00;CRIMES;ESTUPRO;Consumado;LIBERATO SALZANO;RESIDENCIA;interior;1;47;Feminino;Branca
20088;10/01/2024;05:00:00;CRIMES;ESTUPRO;Consumado;SOBRADINHO;OUTROS;;1;25;Feminino;Branca
22088;10/01/2024;20:00:00;CRIMES;ESTUPRO;Consumado;NOVO HAMBURGO;VIA PUBLICA;Boa Vista;1;15;Feminino;Branca
22544;11/01/2024;04:00:00;CRIMES;ESTUPRO;Consumado;URUGUAIANA;RESIDENCIA;Centro;1;39;Feminino;Branca
22574;11/01/2024;05:30:00;CRIMES;ESTUPRO;Consumado;SANTA MARIA;RESIDENCIA;Minuano;1;17;Feminino;Parda
22951;11/01/2024;10:00:00;CRIMES;ESTUPRO;Consumado;VACARIA;RESIDENCIA;Centro;0;;;
24228;11/01/2024;20:00:00;CRIMES;ESTUPRO;Consumado;CAXIAS DO SUL;OUTROS;S„o VirgÌlio;1;28;Feminino;Sem informaÁ„o
24517;11/01/2024;23:00:00;CRIMES;ESTUPRO;Consumado;PIRATINI;OUTROS;;1;31;Feminino;Branca
25887;12/01/2024;14:30:00;CRIMES;ESTUPRO;Consumado;CANOAS;OUTROS;Centro;1;33;Feminino;Branca
26173;12/01/2024;16:30:00;CRIMES;ESTUPRO;Consumado;TORRES;OUTROS;Guarita;1;64;Feminino;Branca
26724;12/01/2024;21:00:00;CRIMES;ESTUPRO;Consumado;ARARICA;RESIDENCIA;IntegraÁ„o;1;16;Feminino;Branca
27357;13/01/2024;07:47:00;CRIMES;ESTUPRO;Consumado;LAJEADO;RESIDENCIA;;1;23;Feminino;Branca
